Car_name,Year,Price,Gas_emission,Fuel_type,Engine_size,Trim
Volkswagen Golf,2016,23010,118,Petrol,1395,Golf Estate1.4 TSI (125bhp) SE 5d DSG
Lamborghini Huracan,2018,180804,290,Petrol,5204,HuracanLP 610-4 Coupe 2d LDF
Ford Edge,2016,34495,149,Diesel,1997,Edge2.0 TDCi (180bhp) Titanium (Lux Pack) 5d
Tesla Model S,2016,119080,0,Other,0,Model SP100D Ludicrous Speed Upgrade All-Wheel Drive auto 5d
Ford Fiesta,2017,18940,114,Petrol,998,Fiesta 1.0 EcoBoost Titanium X 5d Powershift
Porsche 911,2017,111802,290,Petrol,3996,911 Coup????GT3 2dr 2d
Porsche Panamera,2016,113075,212,Petrol,3996,PanameraTurbo PDK auto 5d
Porsche Boxster,2015,48957,190,Petrol,3436,Boxster 3.4 S 2d PDK
Audi A3,2017,34720,162,Petrol,1984,A3 SportbackS3 Black Edition 2.0 TFSI 310PS Quattro 5d
Volkswagen Golf,2015,26125,112,Diesel,1968,Golf Hatchback2.0 TDI GTD 3d
Tesla Model X,2017,95380,0,Other,0,Model X SUV100D All-Wheel Drive auto 5d
BMW X6,2015,66575,205,Diesel,2993,X6xDrive M50d 5d Auto
Porsche Macan,2017,69505,217,Petrol,3604,MacanTurbo with Performance Package PDK auto 5d
Toyota Verso,2015,21165,154,Petrol,1598,Verso1.6 V-matic Icon TSS Nav 5d
BMW 3 Series,2016,35470,150,Petrol,1997,3-Series Gran Turismo328i SE (Professional Media) 5d Step Auto
Tesla Model S,2015,79780,0,Other,0,Model S90D All-Wheel Drive auto 5d
Ford Fiesta,2015,13640,99,Petrol,998,Fiesta 1.0 Zetec 3d
Tesla Model S,2017,71880,0,Other,0,Model S60D All-Wheel Drive auto 5d
Lamborghini Aventador,2015,304236,370,Petrol,6498,AventadorLP 700-4 Pirelli Edition Roadster 2d
Honda Civic,2016,24310,103,Diesel,1597,Civic Tourer 1.6 i-DTEC SR (03/15-) 5d
